score,author,title,press,pretime,rate
2753,作者:〔苏〕鲍里斯·帕斯捷尔纳克,日瓦戈医生,出版社:人民文学出版社,出版年:2006-1-1,8.6
3034,作者:<南朝宋>刘义庆著,世说新语,出版社:山西古籍出版社,出版年:2004,9.1
3094,作者:(美)威廉﹒福克纳,喧哗与骚动,出版社:上海译文出版社,出版年:2004-08,8.8
1710,作者:（美）里昂·尤里斯,出埃及记,出版社:中国青年出版社,出版年:2008-10,8.7
21600,作者:[美]E.B.怀特,夏洛的网,出版社:上海译文出版社,出版年:2004-5,8.5
7026,作者:林海音,城南旧事,出版社:人民文学出版社,出版年:2008-5,9.0
2434,作者:（阿根廷）博尔赫斯,博尔赫斯诗选,出版社:河北教育出版社,出版年:2003-1,8.9
3938,作者:[美]艾萨克·阿西莫夫,银河帝国3：第二基地,出版社:江苏文艺出版社,出版年:2012-7,9.2
20886,作者:鲁迅,狂人日记,出版社:京华出版社,出版年:2006-3,8.6
4573,作者:汪曾祺,受戒,出版社:漓江出版社,出版年:1987-10,9.2
4046,作者:[阿根廷]博尔赫斯,小径分岔的花园,出版社:浙江文艺出版社,出版年:2002-7,9.1
4241,作者:[英]道格拉斯·亚当斯,宇宙尽头的餐馆,出版社:上海译文出版社,出版年:2012-5,8.7
12510,作者:金庸,倚天屠龙记,出版社:三联书店,出版年:1994年5月,8.7
10358,作者:米兰·昆德拉,不朽,出版社:上海译文出版社,出版年:2003-06,8.6
11898,作者:[法]玛格丽特・杜拉斯,广岛之恋,出版社:上海译文出版社,出版年:2005-7,8.1
3247,作者:[意大利]伊塔洛·卡尔维诺,我们的祖先,出版社:译林出版社,出版年:2008-2,9.4
8548,作者:莫言,生死疲劳,出版社:作家出版社,出版年:2006-1-1,8.2
7760,作者:金庸,鹿鼎记,出版社:生活·读书·新知三联书店,出版年:1994-5,9.0
1418,作者:[美]G.波利亚,怎样解题,出版社:上海科技教育出版社,出版年:2007-5,8.8
3523,作者:(明)袁了凡/净庐主人译,了凡四训,出版社:百花文艺出版社,出版年:2007,8.7
13853,作者:查尔斯・狄更斯,双城记,出版社:人民文学出版社,出版年:1996-08,8.3
3040,作者:[爱尔兰]詹姆斯·乔伊斯,都柏林人,出版社:上海译文出版社,出版年:2010-9,8.6
1504,作者:维斯,数据结构与算法分析,出版社:机械工业出版社,出版年:2004-1-1,8.9
19776,作者:江南,九州·缥缈录,出版社:新世界出版社,出版年:2005-6,8.8
21939,作者:[奥]卡夫卡,变形记,出版社:浙江文艺出版社,出版年:2003-4,8.4
